dialogue_id,character_id,text,emotion,voice_file,timing
intro_001,emma,いらっしゃいませ！今日もたくさんのお客様が...,happy,voice_emma_001.mp3,0
intro_002,emma,注文番号を1から順番にクリックしてくださいね,normal,voice_emma_002.mp3,2
tutorial_001,emma,最初は5つの数字から始めましょう！,cheerful,voice_emma_003.mp3,0
tutorial_002,emma,時間内に正確に順番通りにクリックするのがコツです,focused,voice_emma_004.mp3,3
level_up_001,emma,レベルアップです！新しいメニューが追加されました,excited,voice_emma_005.mp3,0
level_up_002,emma,お客様もだんだん増えてきましたね,happy,voice_emma_006.mp3,2
combo_001,emma,すごい！完璧なコンボです,amazed,voice_emma_007.mp3,0
combo_002,emma,この調子で頑張りましょう！,encouraging,voice_emma_008.mp3,1
mistake_001,emma,あ...順番を間違えちゃいました,worried,voice_emma_009.mp3,0
mistake_002,emma,大丈夫！落ち着いてもう一度やりましょう,supportive,voice_emma_010.mp3,2
ending_master_001,emma,あなたのおかげで、街で一番のカフェになりました！,joy,voice_emma_050.mp3,0
ending_master_002,emma,こんなに素晴らしいカフェを作れるなんて夢みたい,grateful,voice_emma_051.mp3,3
ending_popular_001,emma,みんなの憩いの場所になれて嬉しいです,satisfied,voice_emma_040.mp3,0
ending_popular_002,emma,常連のお客様に愛されるカフェですね,warm,voice_emma_041.mp3,2
ending_cozy_001,emma,小さくても愛されるカフェを目指します,determined,voice_emma_030.mp3,0
ending_cozy_002,emma,きっともっと素敵なカフェにできますよ,hopeful,voice_emma_031.mp3,3
ending_newbie_001,emma,まだまだですが、諦めません！,brave,voice_emma_020.mp3,0
ending_newbie_002,emma,次はもっと頑張ります！,motivated,voice_emma_021.mp3,2
